"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"68","male","Los Angeles, CA","8","3","0","0","0","7994","535912"
"995","male","Chicago","36","5","0","0","0","18035","772597"
"402","female","Chicago, IL","1","2","0","0","0","1370","825233"
"88","female","Chicago, IL","5","2","0","0","0","2005","245014"
"19","male","U.S.A","4","2","0","0","0","457","434248"
"66","female","Chicago, IL","26","2","0","0","0","569","590159"
"17","female","Chicago, IL","2","2","0","0","0","2810","779781"
"156","male","Tampa, Florida","17","3","0","0","0","2295","485129"
"60","male","Palatine, IL","5","2","0","0","0","618","543024"
"6","male","San Juan, 127","0","2","0","0","0","166","920812"
"28","female","Ridgefield, CT","8","12","0","0","0","623","787928"
"17","female","Baltimore, MD","0","2","0","0","0","287","162468"
"60","female","California, USA","7","4","0","0","0","1442","260951"
"21","female","Minneapolis, MN","0","2","0","0","0","247","908394"
"39","female","Chicago, IL","13","3","0","0","0","191","539692"
"12","female","Chicago, IL","1","2","0","0","0","37","876562"
"14","female","Chicago, IL","18","2","0","0","0","166","518892"
"26","female","blue island ","6","2","0","0","0","812","287632"
"10","male","Saint Louis","17","5","0","0","0","1430","639069"
"86","female","Atlanta, GA","8","6","0","0","0","1664","273317"
"43","female","Normal, IL","4","2","0","0","0","418","125088"
"19","male","Kansas City, mo","4","5","0","0","0","609","499125"
"196","male","Canton, MI","10","3","0","0","0","2440","126637"
"792","female","None","16","7","0","0","0","7108","116765"
"124","female","Chicago, IL","3","3","0","0","0","1216","720673"
"100","male","Chicago, IL.","10","5","0","0","0","705","912785"
"220","female","Chicago, IL","9","3","0","0","0","1115","579684"
"14","female","Chicago, IL","1","2","0","0","0","134","976807"
"176","male","Grand Rapids Charter Township, MI","12","2","0","0","0","1460","643509"
"609","None","Chicago, IL","4","2","0","0","0","993","936780"
"48","male","Chicago, IL","0","2","0","0","0","570","407729"
"269","male","Houston, Texas","6","2","0","0","0","4640","255759"
"45","male","Chicago, IL","2","2","0","0","0","396","973838"
"134","male","Chicago","4","3","0","0","0","280","866086"
"82","female","New York, NY","3","21","0","0","0","1617","974651"
"58","female","Las Vegas, NV","5","3","0","0","0","11867","954782"
"298","male","Evanston, IL","7","2","0","0","0","877","941915"
"132","male","Istanbul, 34","0","2","0","0","0","269","298694"
"103","male","Menomonee Falls, WI","8","3","0","0","0","3674","687919"
"23","male","Chicago, IL","3","15","0","0","0","924","564020"
"125","female","Chicago, IL","3","6","0","0","0","499","743501"
"31","female","Chicago","0","2","0","0","0","504","172921"
"82","male","Chicago, IL","0","2","0","0","0","196","805383"
"163","male","Chicago, Illinois","7","3","0","0","0","2927","980199"
"114","male","Chicago, IL","26","9","0","0","0","9579","410967"
"208","male","Chicago, IL","10","5","0","0","0","1036","236931"
"48","male","Sioux Falls, SD","21","3","0","0","0","882","309879"
"34","male","Chicago, IL","3","2","0","0","0","614","361643"
