"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"286","male","город Москва","5","3","0","0","0","2364","371418"
"52","female","Moscow","0","2","0","0","0","2750","842200"
"122","male","Moscow","10","2","0","0","0","1267","425147"
"79","male","Moscow, 48","1","2","0","0","0","154","439199"
"31","female","Москва, Россия ","1","3","0","0","0","524","579412"
"10","male","Moscow, Moscow","0","2","0","0","0","70","461151"
"61","female","Moskva","16","3","0","0","0","1804","137496"
"85","male","город Москва, Россия","6","2","0","0","0","878","126942"
"18","male","Moscow, Moscow","2","2","0","0","0","364","953893"
"20","female","None","0","2","0","0","0","1064","222550"
"20","female","Phuket","14","7","0","0","0","600","958705"
"7","female","Moscow, 48","27","4","0","0","0","2418","806265"
"41","male","Moscow, Russia","0","2","0","0","0","2774","777535"
"28","female","Moskva","0","2","0","0","0","71","725902"
"16","male","New York, NY","10","2","0","0","0","157","854432"
"13","male","Moscow, Moskva","1","2","0","0","0","101","290624"
"58","female","Moscow","2","5","0","0","0","2402","355593"
"30","female","Moskva","1","2","0","0","0","1105","239861"
"5","female","Moscow, Moscow","0","2","0","0","0","16","896319"
"18","male","Moscow","1","2","0","0","0","223","615119"
"255","female","город Санкт-Петербург, Россия","1","2","0","0","0","2651","771827"
"38","None","None","3","2","0","0","0","713","957492"
"4","male","Moskovsskaya","0","2","0","0","0","52","788052"
"25","male","Moscow, Russia","8","4","0","0","0","183","516446"
"12","female","Moscow","9","4","0","0","0","942","959579"
"555","male","Moskva","146","16","0","0","0","4354","692490"
"35","female","Moskva","0","2","0","0","0","385","150673"
"27","male","Moscow","1","7","0","0","0","1071","354265"
"41","female","Россия","12","4","0","0","0","3498","945967"
"27","male","Moskva","1","2","0","0","0","1946","840294"
"360","female","Moscow, Russia","3","4","0","0","0","443","774178"
"15","female","Москва, Россия","1","2","0","0","0","2285","913087"
"90","female","Москва, Россия","1","2","0","0","0","629","828950"
"21","female","Moskovsskaya","13","2","0","0","0","4636","980074"
"14","female","Moscow, 48","0","2","0","0","0","615","942919"
"28","female","Khimki","65","2","0","0","0","1273","744283"
"53","female","мск","0","2","0","0","0","742","924852"
"57","female","город Москва, Россия","3","2","0","0","0","1974","715837"
"112","male","Moscow, Russia","4","5","0","0","0","2863","387738"
"246","male","Moscow, Russia","19","3","0","0","0","600","786099"
"38","female","Moscow, 48","3","2","0","0","0","487","579009"
"180","male","Moscow, Russia","3","2","0","0","0","516","403147"
"3","female","Moscow, Moscow","0","2","0","0","0","115","496261"
"20","female","None","0","2","0","0","0","232","555861"
"64","male","Russia Moscow","36","2","0","0","0","894","716798"
"640","male","Moscow, 48","4","2","0","0","0","208","193765"
"91","female","Moscow","0","2","0","0","0","1693","622403"
"33","female","Moscow, 48","0","2","0","0","0","91","735840"
"71","male","город Москва, Россия","1","2","0","0","0","458","367966"
"23","male","Moscow, Russia","30","3","0","0","0","1352","376153"
"105","female","NovoEbenevo","17","12","0","0","0","2666","529177"
"18","female","Moscow","7","2","0","0","0","1749","446393"
"20","female","Москва","7","2","0","0","0","514","688892"
"241","female","Moscow, Moscow","2","2","0","0","0","235","364277"
"78","female","Moscow, Moscow","0","2","0","0","0","665","436986"
"126","male","Город Moscow, Россия🇷🇺","51","7","0","0","0","4950","620755"
"66","male","Moskovsskaya","22","2","0","0","0","2927","894522"
"40","female","Bryansk","23","2","0","0","0","435","835208"
"32","None","None","1","2","0","0","0","320","498253"
"101","female","Moscow","8","3","0","0","0","4142","918734"
"19","female","Nakhabino, Moskovskaya","2","2","0","0","0","148","493619"
"132","male","Москва","50","12","0","0","0","1157","608993"
"14","female","Moscow","3","2","0","0","0","443","927655"
"10","male","Moskva","0","2","0","0","0","1250","827922"
"98","female","город Москва, Россия","8","2","0","0","0","3230","479923"
"20","female","Moskva","21","3","0","0","0","6817","982144"
"32","female","Moskva","3","2","0","0","0","1412","269323"
"147","male","город Москва, Россия","5","2","0","0","0","1076","618288"
"23","female","Sakhalin","13","2","0","0","0","1353","371767"
"41","female","Moskva","0","2","0","0","0","1157","872642"
"17","female","Москва","0","2","0","0","0","1808","249178"
"19","male","Moscow, 48","13","2","0","0","0","856","258203"
"77","male","Moskovsskaya","2","2","0","0","0","748","289122"
"22","female","Moskva","6","3","0","0","0","477","177721"
"29","female","New York, NY","0","2","0","0","0","444","731801"
"5","female","None","0","2","0","0","0","77","994440"
"1019","male","Самара, Россия","58","4","0","0","0","1924","642485"
"544","male","город Москва, Россия","7","12","0","0","0","464","563919"
"67","female","Solnechnogorsk","0","2","0","0","0","564","349998"
"33","male","Moscow","5","2","0","0","0","582","160475"
"29","male","New York, NY","2","2","0","0","0","853","210572"
"24","female","Nizhniy Novgorod, 51","0","2","0","0","0","787","515386"
"83","female","St.Petersburg","18","2","0","0","0","587","441704"
"12","female","Moscow, Moscow","0","2","0","0","0","75","159721"
"38","male","город Москва, Россия","0","3","0","0","0","534","195507"
"112","male","Moscow ","0","2","0","0","0","2293","636721"
"29","female","Moscow, Moskva","0","2","0","0","0","109","312873"
"998","male","город Москва, Россия","3","2","0","0","0","1219","106864"
"31","male","Москва, 16","4","4","0","0","0","864","183686"
"31","female","Moskovsskaya","2","4","0","0","0","1643","605996"
"25","female","Moskovsskaya","0","2","0","0","0","306","586671"
"423","male","Moscow, Moscow","16","2","0","0","0","5248","963146"
"10","female","Moskovsskaya","2","2","0","0","0","978","120054"
"22","male","Moskva","4","2","0","0","0","244","149092"
"154","female","Moskva","11","6","0","0","0","2593","297012"
"10","male","Moscow, 48","3","2","0","0","0","173","254963"
"15","female","Moscow","0","2","0","0","0","152","969595"
"13","female","Moskva","5","2","0","0","0","465","801408"
"29","female","Moskva","2","2","0","0","0","1184","958064"
"143","male","москва","54","3","0","0","0","4007","336018"
"86","female","Moskva","11","2","0","0","0","733","175965"
"18","female","Moskva","2","2","0","0","0","243","397745"
"35","female","Moskovsskaya","0","2","0","0","0","604","612092"
"73","male","Moscow, Russia","8","3","0","0","0","3375","565685"
"18","female","Москва, Россия","0","3","0","0","0","1078","626606"
"59","female","Krasnoyarsk","3","2","0","0","0","860","875400"
"30","male","None","0","2","0","0","0","102","669203"
"22","female","Moscow","0","2","0","0","0","754","465191"
"46","female","Moskva","5","2","0","0","0","1032","893013"
"150","female","Moscow","26","3","0","0","0","3885","991874"
"28","female","Moskva","88","5","0","0","0","2898","738205"
"26","female","Moscow, Russia","21","9","0","0","0","1591","640008"
"188","female","Moscow, Russia","15","2","0","0","0","121","903172"
"110","female","город Москва, Россия","2","2","0","0","0","4039","482177"
"23","female","None","0","2","0","0","0","55","218290"
"8","female","Moscow","29","5","0","0","0","805","548704"
"990","female","город Москва, Россия","1","3","0","0","0","2005","564203"
"52","female","Moscow","5","3","0","0","0","2658","135691"
"4","male","None","0","2","0","0","0","48","580473"
"129","male","Москва","23","10","0","0","0","2414","933687"
"78","male","Moskva","2","2","0","0","0","656","175659"
"15","female","Moskva","14","7","0","0","0","1064","512834"
"33","male","Moscow","4","2","0","0","0","642","708537"
"59","female","Moscow","5","2","0","0","0","1311","465134"
"37","female","Izhevsk","12","16","0","0","0","1864","863612"
"18","female","Moskva","0","2","0","0","0","115","805641"
"120","female","Москва ","34","2","0","0","0","1874","777635"
"21","male","Москва, Россия","29","4","0","0","0","1136","572299"
"202","male","Moskva","22","2","0","0","0","1683","331653"
"13","female","None","4","2","0","0","0","430","746831"
"38","None","Moscow, Moscow","0","2","0","0","0","108","934435"
"17","female","Moskovsskaya","1","3","0","0","0","489","894978"
"1000","male","Chelyabinsk","44","2","0","0","0","3987","460294"
"39","female","Saint Petersburg, St.-Petersburg","4","2","0","0","0","1720","892870"
"7","female","Moscow, ","0","2","0","0","0","314","592086"
"48","female","Saint-P","0","3","0","0","0","1840","708918"
"92","male","Омск, Российская Федерация","3","3","0","0","0","1284","611872"
"39","female","Ulyanovsk","0","2","0","0","0","423","987608"
"7","female","Moscow, 48","0","2","0","0","0","165","291758"
"23","male","Moskva","6","3","0","0","0","944","332888"
"36","female","Россия","1","2","0","0","0","228","564841"
"43","female","Msk","8","2","0","0","0","2691","271444"
"7","male","Moskovsskaya","0","2","0","0","0","66","802212"
"28","male","Moscow","15","2","0","0","0","2521","198462"
"57","female","Moskovsskaya","0","2","0","0","0","704","719875"
"58","male","Moscow","0","2","0","0","0","353","620060"
"35","female","Moskva","0","2","0","0","0","1130","680397"
"395","male","Москва, Россия","13","2","0","0","0","4842","795074"
"22","female","Moskva","2","2","0","0","0","464","804098"
"42","female","Moskovsskaya","1","2","0","0","0","932","608510"
"28","male","город Москва, Россия","109","8","0","0","0","1025","688315"
"10","female","Moskva","1","3","0","0","0","255","875389"
"4","male","Moskva","2","2","0","0","0","481","959108"
"31","female","Moscow ","6","2","0","0","0","4519","163688"
"52","male","Yekaterinburg, Sverdlovskaya Oblast', Russia","3","2","0","0","0","235","978955"
"19","female","Moskovsskaya","0","2","0","0","0","458","833029"
"86","female","город Москва, Россия","73","6","0","0","0","3676","661712"
"32","female","Moskva","0","2","0","0","0","1225","346585"
"23","female","Moskovsskaya","37","6","0","0","0","1786","566600"
"259","female","город Москва, Россия","1","2","0","0","0","799","912026"
"51","female","Moskva","3","2","0","0","0","2736","430663"
"63","female","Moskovsskaya","3","2","0","0","0","2418","677712"
"207","male","Moscow, Russia","4","3","0","0","0","967","778217"
"46","female","Moskva","21","3","0","0","0","1895","554791"
"18","male","Москва","9","3","0","0","0","1280","695598"
"80","female","город Москва, Россия","90","23","0","0","0","7019","896751"
"43","female","Moskova","2","2","0","0","0","710","553709"
